id,text,is_valid,departure_canonical,arrival_canonical,departure_surface,arrival_surface,departure_span_start,departure_span_end,arrival_span_start,arrival_span_end,has_noise,template_id
462,Je veux une pizza à OrléanS.,0,,,,,-1,-1,-1,-1,0,-1
463,J'aimerais un itinéraire de Avignon à Le Mans ce soir en première classe,1,Avignon,Le Mans,Avignon,Le Mans,28,35,38,45,0,105
464,Je veux un train.,0,,,,,-1,-1,-1,-1,0,-1
465,"Hey, je veux un itinéraire Besancon → PAris aujourd'hui ?",1,Besançon,Paris,Besancon,PAris,27,35,38,43,1,313
466,Peux-tu un trajet de Limoges vers Marseille samedi matin sans correspondance ?,1,Limoges,Marseille,Limoges,Marseille,21,28,34,43,0,63
467,J’ai besoin de un train depuis Pau jusqu’à orLéaNs demain après-midi en seconde s'il te plaît.,1,Pau,Orléans,Pau,orLéaNs,31,34,43,50,1,328
468,Peux-tu un voyage LE-MANS → Paris dans 2 heures le plus rapide possible est-ce possible ?,1,Le Mans,Paris,LE-MANS,Paris,18,25,28,33,1,289
469,"S'il te plaît, je veux un itinéraire entre Strasbourg et Marseille demain après-midi le plus rapide possible s'il te plaît.",1,Strasbourg,Marseille,Strasbourg,Marseille,43,53,57,66,0,31
470,J'aime bien La Rochelle.,0,,,,,-1,-1,-1,-1,0,-1
471,"Bonjour, je veux un train depuis Bordeaux jusqu’à Toulouse en seconde",1,Bordeaux,Toulouse,Bordeaux,Toulouse,33,41,50,58,0,371
472,"Hey, je veux un train depuis clerMont-fErrand jusqu’à Strasbourg demain le plus rapide possible est-ce possible ?",1,Clermont-Ferrand,Strasbourg,clerMont-fErrand,Strasbourg,29,45,54,64,1,85
473,Je cherche une correspondance de Montpellier jusque Angers dans 2 heures pas trop cher stp.,1,Montpellier,Angers,Montpellier,Angers,33,44,52,58,0,66
474,"Salut, je voudrais un train de DIJON jusque marseille la semaine prochaine Je dois rejoindre Troyes avant de partir.",1,Dijon,Marseille,DIJON,marseille,31,36,44,53,1,54
475,J'aimerais un billet entre Toulouse et Lyon demain après-midi en seconde stp.,1,Toulouse,Lyon,Toulouse,Lyon,27,35,39,43,0,301
476,Raconte-moi l'histoire de Perpignan.,0,,,,,-1,-1,-1,-1,0,-1
477,Je veux un train.,0,,,,,-1,-1,-1,-1,0,-1
478,Peux-tu un itinéraire de Bres à Paris samedi matin s'il te plaît.,1,Brest,Paris,Bres,Paris,25,29,32,37,1,19
479,Je veux aller à anGErs (pas en train).,0,,,,,-1,-1,-1,-1,0,-1
480,"Bonjour, je veux un billet de train de Aix-en-Provence à Besancon aujourd'hui pas trop cher s'il te plaît. Je dois rejoindre Troyes avant de partir.",1,Aix-en-Provence,Besançon,Aix-en-Provence,Besancon,39,54,57,65,1,48
481,T'as des nouvelles de Troyes ?,0,,,,,-1,-1,-1,-1,0,-1
482,J’ai besoin de un voyage en partant de Rennes pour aller à Dijon vendredi sans correspondance ?,1,Rennes,Dijon,Rennes,Dijon,39,45,59,64,0,38
483,Tu peux un train pour aller à Bordeaux depuis Orleans la semaine prochaine sans correspondance est-ce possible ? Je vais voir mon ami Lourdes.,1,Orléans,Bordeaux,Orleans,Bordeaux,46,53,30,38,1,215
484,Je souhaiterais un itinéraire depuis Nice jusqu’à CAEN ce soir ?,1,Nice,Caen,Nice,CAEN,37,41,50,54,1,181
485,"S'il te plaît, je veux un billet de train Saint-Etienne - montpelLier ce soir sans correspondance stp.",1,Saint-Étienne,Montpellier,Saint-Etienne,montpelLier,42,55,58,69,1,275
486,J'aime bien Nice.,0,,,,,-1,-1,-1,-1,0,-1
487,"S'il te plaît, je veux un train La Rochelle → Le Mans vendredi pas trop cher s'il te plaît.",1,La Rochelle,Le Mans,La Rochelle,Le Mans,32,43,46,53,0,92
488,J'aimerais un itinéraire de Tours à Angers demain après-midi est-ce possible ?,1,Tours,Angers,Tours,Angers,28,33,36,42,0,41
489,Tu peux une correspondance depuis Rennes jusqu’à Caen aujourd'hui pas trop cher est-ce possible ?,1,Rennes,Caen,Rennes,Caen,34,40,49,53,0,94
490,Je voudrais un itinéraire Angers → Brest demain matin pas trop cher ?,1,Angers,Brest,Angers,Brest,26,32,35,40,0,139
491,Tu peux une correspondance de Grenoble jusque tourS samedi matin en seconde tu peux regarder ?,1,Grenoble,Tours,Grenoble,tourS,30,38,46,51,1,25
492,"Bonjour, je veux un trajet Grenoble → La Rochelle ce soir pas trop cher",1,Grenoble,La Rochelle,Grenoble,La Rochelle,27,35,38,49,0,390
493,Peux-tu un itinéraire Lille → nancy dans 2 heures sans correspondance est-ce possible ? Je vais voir mon ami Paris.,1,Lille,Nancy,Lille,nancy,22,27,30,35,1,64
494,Je souhaiterais un trajet de Aix en Provence jusque Clermont-Ferrand demain avec une correspondance tu peux regarder ? Avec Florence je voyage.,1,Aix-en-Provence,Clermont-Ferrand,Aix en Provence,Clermont-Ferrand,29,44,52,68,1,361
495,Je voudrais un itinéraire de Le Mans jusqu'à Angers vendredi avec une correspondance,1,Le Mans,Angers,Le Mans,Angers,29,36,45,51,0,355
496,Je souhaiterais une liaison ferroviaire depuis Caen jusqu’à Avignon dans 2 heures le plus rapide possible,1,Caen,Avignon,Caen,Avignon,47,51,60,67,0,117
497,Je veux un itinéraire METZ → avignon ce soir avec une correspondance est-ce possible ?,1,Metz,Avignon,METZ,avignon,22,26,29,36,1,297
498,J’ai besoin de un billet de train Le-Mans - Perpignan le plus rapide possible s'il te plaît.,1,Le Mans,Perpignan,Le-Mans,Perpignan,34,41,44,53,1,44
499,"S'il te plaît, je veux un billet de Saint Malo à Montpellier demain s'il te plaît. Je dois rejoindre Florence avant de partir.",1,Saint-Malo,Montpellier,Saint Malo,Montpellier,36,46,49,60,1,276
500,Tu peux un billet de train pour aller à NANCY depuis Orléas demain avec une correspondance s'il te plaît.,1,Orléans,Nancy,Orléas,NANCY,53,59,40,45,1,349
501,"Salut, je voudrais un itinéraire de Saint-Malo jusqu'à Port-Boulet samedi matin s'il te plaît.",1,Saint-Malo,Port-Boulet,Saint-Malo,Port-Boulet,36,46,55,66,0,252
502,Je veux un train.,0,,,,,-1,-1,-1,-1,0,-1
503,Quel temps fait-il à Angers aujourd'hui ?,0,,,,,-1,-1,-1,-1,0,-1
504,J'aimerais une liaison ferroviaire de Avignon jusque ort-Boulet vendredi en première classe tu peux regarder ?,1,Avignon,Port-Boulet,Avignon,ort-Boulet,38,45,53,63,1,221
505,"Salut, je voudrais un billet depuis TOURS jusqu’à Saint-Malo samedi matin avec une correspondance tu peux regarder ?",1,Tours,Saint-Malo,TOURS,Saint-Malo,36,41,50,60,1,343
506,Tu peux une correspondance avigNon - Strasbourg ?,1,Avignon,Strasbourg,avigNon,Strasbourg,27,34,37,47,1,2
507,Peux-tu un trajet de Marseille vers Tors samedi matin sans correspondance ?,1,Marseille,Tours,Marseille,Tors,21,30,36,40,1,63
508,"Salut, je voudrais un billet de train en partant de Lyon pour aller à Caen demain en première classe tu peux regarder ?",1,Lyon,Caen,Lyon,Caen,52,56,70,74,0,262
509,Tu peux un itinéraire de paRiS jusque Orléans demain matin le plus rapide possible est-ce possible ?,1,Paris,Orléans,paRiS,Orléans,25,30,38,45,1,137
510,J'aimerais un itinéraire de Clermont-Ferrand vers le mans la semaine prochaine sans correspondance ?,1,Clermont-Ferrand,Le Mans,Clermont-Ferrand,le mans,28,44,50,57,1,142
511,"Bonjour, je veux un train depuis Aix-en-Provence jusqu’à Marseille en seconde",1,Aix-en-Provence,Marseille,Aix-en-Provence,Marseille,33,48,57,66,0,371
512,Réserve-moi quelque chose.,0,,,,,-1,-1,-1,-1,0,-1
513,Je veux aller voir Paris.,0,,,,,-1,-1,-1,-1,0,-1
514,J’ai besoin de un billet de train Toulouse - Avignon le plus rapide possible s'il te plaît.,1,Toulouse,Avignon,Toulouse,Avignon,34,42,45,52,0,44
515,Tu peux un train entre bordeAUx et Renne dans 2 heures pas trop cher stp.,1,Bordeaux,Rennes,bordeAUx,Renne,23,31,35,40,1,82
516,Tu peux un train pour aller à Caen depuis Avignon dans 2 heures sans correspondance ?,1,Avignon,Caen,Avignon,Caen,42,49,30,34,0,127
517,J’ai besoin de un billet pour aller à Strasbourg depuis PERPIGNAN ce soir sans correspondance stp.,1,Perpignan,Strasbourg,PERPIGNAN,Strasbourg,56,65,38,48,1,106
518,"S'il te plaît, je veux un train au départ de SAINT ÉTIENNE pour Limoges samedi matin en seconde stp.",1,Saint-Étienne,Limoges,SAINT ÉTIENNE,Limoges,45,58,64,71,1,21
519,Je veux un billet de train de Besançon vers montpellier samedi matin le plus rapide possible stp.,1,Besançon,Montpellier,Besançon,montpellier,30,38,44,55,1,409
520,J’ai besoin de une correspondance de Clermont Ferrand vers MontEpLlIEr demain matin en première classe stp.,1,Clermont-Ferrand,Montpellier,Clermont Ferrand,MontEpLlIEr,37,53,59,70,1,346
521,Je veux un voyage en partant de PORT-BOULET pour aller à Caen demain matin Je dois rejoindre Florence avant de partir.,1,Port-Boulet,Caen,PORT-BOULET,Caen,32,43,57,61,1,141
522,Je veux une pizza à Brest.,0,,,,,-1,-1,-1,-1,0,-1
523,"Bonjour, je veux un billet de train La Rochelle → besançon dans 2 heures sans correspondance",1,La Rochelle,Besançon,La Rochelle,besançon,36,47,50,58,1,243
524,J'aimerais un itinéraire de Lille à le-Mans samedi matin pas trop cher ?,1,Lille,Le Mans,Lille,le-Mans,28,33,36,43,1,167
525,"S'il te plaît, je veux une liaison ferroviaire de METZ vers Montpellier dans 2 heures le plus rapide possible",1,Metz,Montpellier,METZ,Montpellier,50,54,60,71,1,250
526,Je souhaiterais un voyage en partant de tSrasbourg pour aller à La Rochelle ce soir en seconde ?,1,Strasbourg,La Rochelle,tSrasbourg,La Rochelle,40,50,64,75,1,379
527,"Bonjour, je veux une liaison ferroviaire de saint malo jusqu'à Le Mans dans 2 heures en première classe ?",1,Saint-Malo,Le Mans,saint malo,Le Mans,44,54,63,70,1,72
528,Peux-tu un billet de train au départ de le-mans pour strasbourg ce soir en seconde,1,Le Mans,Strasbourg,le-mans,strasbourg,40,47,53,63,1,18
529,"Salut, je voudrais un billet de train entre Llle et Metz la semaine prochaine le plus rapide possible ?",1,Lille,Metz,Llle,Metz,44,48,52,56,1,247
530,Je veux un itinéraire Saint-Etienne - Limoges dans 2 heures avec une correspondance s'il te plaît.,1,Saint-Étienne,Limoges,Saint-Etienne,Limoges,22,35,38,45,1,404
531,Je cherche une liaison ferroviaire pour aller à La-Rochelle depuis Montpellier dans 2 heures en première classe,1,Montpellier,La Rochelle,Montpellier,La-Rochelle,67,78,48,59,1,77
532,Je veux une pizza à Marseille.,0,,,,,-1,-1,-1,-1,0,-1
533,J’ai besoin de un voyage de Saint-Malo vers PaRIS la semaine prochaine en première classe ?,1,Saint-Malo,Paris,Saint-Malo,PaRIS,28,38,44,49,1,259
534,Peux-tu un itinéraire de ORLÉANS à RENNES samedi matin s'il te plaît.,1,Orléans,Rennes,ORLÉANS,RENNES,25,32,35,41,1,19
535,Tu peux un billet Nice - GRENOBLE demain après-midi avec une correspondance s'il te plaît.,1,Nice,Grenoble,Nice,GRENOBLE,18,22,25,33,1,143
536,"Hey, je veux une liaison ferroviaire au départ de Angers pour avignon samedi matin avec une correspondance stp.",1,Angers,Avignon,Angers,avignon,50,56,62,69,1,271
537,Je souhaiterais un voyage depuis lille jusqu’à Caen demain le plus rapide possible stp.,1,Lille,Caen,lille,Caen,33,38,47,51,1,303
538,Peux-tu un voyage de Brest à Avignon sans correspondance stp. Je vais voir mon ami Florence.,1,Brest,Avignon,Brest,Avignon,21,26,29,36,0,318
539,Quel temps fait-il à Saint-Étienne aujourd'hui ?,0,,,,,-1,-1,-1,-1,0,-1
540,Je voudrais un itinéraire de Rennes jusqu'à Orléans demain après-midi sans correspondance ?,1,Rennes,Orléans,Rennes,Orléans,29,35,44,51,0,59
541,J’ai besoin de une correspondance de Brets vers Metz demain matin en première classe stp.,1,Brest,Metz,Brets,Metz,37,42,48,52,1,346
542,Je voudrais aller voir mon ami Florence à LILLE.,0,,,,,-1,-1,-1,-1,0,-1
543,Je veux un train.,0,,,,,-1,-1,-1,-1,0,-1
544,"Bonjour, je veux un itinéraire BreSt - Paris la semaine prochaine le plus rapide possible est-ce possible ?",1,Brest,Paris,BreSt,Paris,31,36,39,44,1,283
545,Je veux aller voir Paris.,0,,,,,-1,-1,-1,-1,0,-1
546,Je voudrais un billet de train de Port Boulet jusque clermont ferrand la semaine prochaine en seconde,1,Port-Boulet,Clermont-Ferrand,Port Boulet,clermont ferrand,34,45,53,69,1,383
547,Je cherche un trajet pour aller à Cleront-Ferrand depuis Bordeau demain après-midi sans correspondance,1,Bordeaux,Clermont-Ferrand,Bordeau,Cleront-Ferrand,57,64,34,49,1,407
548,"S'il te plaît, je veux un trajet entre Grenoble et Nantes samedi matin tu peux regarder ? Je dois rejoindre Milan avant de partir.",1,Grenoble,Nantes,Grenoble,Nantes,39,47,51,57,0,6
549,J'aimerais un billet entre lyon et Orléans demain après-midi en seconde stp.,1,Lyon,Orléans,lyon,Orléans,27,31,35,42,1,301
550,Je voudrais une liaison ferroviaire Grenoble → marseille vendredi pas trop cher stp. Je dois rejoindre Orange avant de partir.,1,Grenoble,Marseille,Grenoble,marseille,36,44,47,56,1,49
551,Je veux un train.,0,,,,,-1,-1,-1,-1,0,-1
552,Peux-tu un voyage en partant de Pau pour aller à reims aujourd'hui en seconde stp.,1,Pau,Reims,Pau,reims,32,35,49,54,1,32
553,J’ai besoin de un billet de Bordeaux jusque Lyon samedi matin en première classe tu peux regarder ?,1,Bordeaux,Lyon,Bordeaux,Lyon,28,36,44,48,0,366
554,J'aimerais une correspondance de Nancy vers Clermont-Ferrand demain matin,1,Nancy,Clermont-Ferrand,Nancy,Clermont-Ferrand,33,38,44,60,0,378
555,Je voudrais aller voir mon ami Florence à Bordeaux.,0,,,,,-1,-1,-1,-1,0,-1
556,Peux-tu un itinéraire de OrléanS jusqu'à bordeaux la semaine prochaine en première classe Avec Milan je voyage.,1,Orléans,Bordeaux,OrléanS,bordeaux,25,32,41,49,1,311
557,J’ai besoin de un itinéraire de Aix en Provence à Limoges samedi matin en première classe ?,1,Aix-en-Provence,Limoges,Aix en Provence,Limoges,32,47,50,57,1,58
558,"Hey, je veux une correspondance en partant de Grenoble pour aller à Aix-en-Provence ce soir s'il te plaît.",1,Grenoble,Aix-en-Provence,Grenoble,Aix-en-Provence,46,54,68,83,0,171
559,"Hey, je veux un itinéraire Dijon → Rennes aujourd'hui ?",1,Dijon,Rennes,Dijon,Rennes,27,32,35,41,0,313
560,"Hey, je veux une liaison ferroviaire depuis Tours jusqu’à Caen demain matin ? Je dois rejoindre Orange avant de partir.",1,Tours,Caen,Tours,Caen,44,49,58,62,0,109
561,Tu peux un billet de train depuis Aix-en-Provence jusqu’à Bordeaux demain pas trop cher est-ce possible ?,1,Aix-en-Provence,Bordeaux,Aix-en-Provence,Bordeaux,34,49,58,66,0,179
562,"S'il te plaît, je veux une liaison ferroviaire pour aller à Lyon depuis Lille dans 2 heures le plus rapide possible ? Je dois rejoindre Orange avant de partir.",1,Lille,Lyon,Lille,Lyon,72,77,60,64,0,414
563,Je veux un train depuis Toulouse jusqu’à Lyon demain après-midi sans correspondance,1,Toulouse,Lyon,Toulouse,Lyon,24,32,41,45,0,176
564,Je veux aller à MONTPELLIER (pas en train).,0,,,,,-1,-1,-1,-1,0,-1
565,J'aimerais une liaison ferroviaire rennes → Port-Boulet demain après-midi en seconde tu peux regarder ?,1,Rennes,Port-Boulet,rennes,Port-Boulet,35,41,44,55,1,173
566,"S'il te plaît, je veux un billet de Montpellier jusqu'à Tours vendredi",1,Montpellier,Tours,Montpellier,Tours,36,47,56,61,0,389
567,J'aimerais un billet de train entre Avignon et Port Boulet demain matin sans correspondance ?,1,Avignon,Port-Boulet,Avignon,Port Boulet,36,43,47,58,1,264
568,"S'il te plaît, je veux un billet de train Grenoble → toulouse demain matin en première classe s'il te plaît.",1,Grenoble,Toulouse,Grenoble,toulouse,42,50,53,61,1,365
569,"Hey, je veux une liaison ferroviaire au départ de Montpellier pour esancon samedi matin avec une correspondance stp.",1,Montpellier,Besançon,Montpellier,esancon,50,61,67,74,1,271
570,Tu peux un billet de train de Saint-Étienne jusque Montepllier dans 2 heures avec une correspondance ?,1,Saint-Étienne,Montpellier,Saint-Étienne,Montepllier,30,43,51,62,1,146
571,Je veux aller à Toulouse (pas en train).,0,,,,,-1,-1,-1,-1,0,-1
572,Raconte-moi l'histoire de Aix-En-Provence.,0,,,,,-1,-1,-1,-1,0,-1
573,"S'il te plaît, je veux une liaison ferroviaire de Orleans vers Besançon dans 2 heures le plus rapide possible",1,Orléans,Besançon,Orleans,Besançon,50,57,63,71,1,250
574,Je souhaiterais un trajet Lyon - Saint-Malo en première classe ?,1,Lyon,Saint-Malo,Lyon,Saint-Malo,26,30,33,43,0,305
575,Tu peux un voyage de MRSEILLE jusque Caen demain matin sans correspondance est-ce possible ?,1,Marseille,Caen,MRSEILLE,Caen,21,29,37,41,1,266
576,Je voudrais un itinéraire metz - Nancy ce soir en première classe stp.,1,Metz,Nancy,metz,Nancy,26,30,33,38,1,202
577,"Bonjour, je veux un trajet AVIGNON → Tours ce soir pas trop cher",1,Avignon,Tours,AVIGNON,Tours,27,34,37,42,1,390
578,Je voudrais un voyage depuis Nantes jusqu’à Tours samedi matin est-ce possible ?,1,Nantes,Tours,Nantes,Tours,29,35,44,49,0,13
579,"Salut, je voudrais un trajet depuis La Rochelle jusqu’à perPIgnan ce soir le plus rapide possible stp.",1,La Rochelle,Perpignan,La Rochelle,perPIgnan,36,47,56,65,1,211
580,J’ai besoin de un train depuis Avigonn jusqu’à TOURS demain après-midi en seconde s'il te plaît.,1,Avignon,Tours,Avigonn,TOURS,31,38,47,52,1,328
581,Peux-tu un train pour aller à Caen depuis Saitn-Etienne samedi matin avec une correspondance Avec Florence je voyage.,1,Saint-Étienne,Caen,Saitn-Etienne,Caen,42,55,30,34,1,282
582,"Hey, je veux un itinéraire pour aller à lyon depuis Strasbourg demain avec une correspondance",1,Strasbourg,Lyon,Strasbourg,lyon,52,62,40,44,1,17
583,Je voudrais un itinéraire de Liomges jusqu'à Caen vendredi avec une correspondance,1,Limoges,Caen,Liomges,Caen,29,36,45,49,1,355
584,Je veux une liaison ferroviaire de Orléans jusqu'à Clermont Ferrand la semaine prochaine est-ce possible ? Je vais voir mon ami Troyes.,1,Orléans,Clermont-Ferrand,Orléans,Clermont Ferrand,35,42,51,67,1,376
585,J’ai besoin de un trajet pour aller à Orléans depuis TOULOUSE en seconde,1,Toulouse,Orléans,TOULOUSE,Orléans,53,61,38,45,1,3
586,J'aimerais une liaison ferroviaire de Saint-Malo jusque Paris vendredi en première classe tu peux regarder ?,1,Saint-Malo,Paris,Saint-Malo,Paris,38,48,56,61,0,221
587,J'aime bien NAnTeS.,0,,,,,-1,-1,-1,-1,0,-1
588,Tu peux une correspondance de SAIN MALO à PERPIGNAN,1,Saint-Malo,Perpignan,SAIN MALO,PERPIGNAN,30,39,42,51,1,261
589,Tu peux un trajet en partant de Avignon pour aller à Brest vendredi le plus rapide possible est-ce possible ?,1,Avignon,Brest,Avignon,Brest,32,39,53,58,0,331
590,"S'il te plaît, je veux un train Saint-Malo → Port Boulet vendredi pas trop cher s'il te plaît.",1,Saint-Malo,Port-Boulet,Saint-Malo,Port Boulet,32,42,45,56,1,92
591,Je souhaiterais un billet de Metz vers Sait Étienne aujourd'hui en première classe ? Avec Lourdes je voyage.,1,Metz,Saint-Étienne,Metz,Sait Étienne,29,33,39,51,1,50
592,Tu peux un itinéraire de Clermont-Ferrand jusque BESANÇON demain matin le plus rapide possible est-ce possible ?,1,Clermont-Ferrand,Besançon,Clermont-Ferrand,BESANÇON,25,41,49,57,1,137
593,Peux-tu un train de Besancon vers Marseille ce soir le plus rapide possible ?,1,Besançon,Marseille,Besancon,Marseille,20,28,34,43,1,191
594,J’ai besoin de une correspondance au départ de Saint Malo pour Avignon aujourd'hui ?,1,Saint-Malo,Avignon,Saint Malo,Avignon,47,57,63,70,1,174
595,"S'il te plaît, je veux une liaison ferroviaire de tours jusqu'à Saint Malo demain matin le plus rapide possible s'il te plaît.",1,Tours,Saint-Malo,tours,Saint Malo,50,55,64,74,1,71
596,"Salut, je voudrais un billet de train en partant de GRENOBLE pour aller à Bordeaux demain en première classe tu peux regarder ?",1,Grenoble,Bordeaux,GRENOBLE,Bordeaux,52,60,74,82,1,262
597,Je voudrais aller voir mon ami Milan à Grenoble.,0,,,,,-1,-1,-1,-1,0,-1
598,"Salut, je voudrais une correspondance de Le-Mans vers Pau dans 2 heures le plus rapide possible s'il te plaît.",1,Le Mans,Pau,Le-Mans,Pau,41,48,54,57,1,302
599,Tu peux un billet depuis BESANCON jusqu’à Nancy dans 2 heures s'il te plaît.,1,Besançon,Nancy,BESANCON,Nancy,25,33,42,47,1,150
600,Je cherche une correspondance de Dijon jusque Nancy dans 2 heures pas trop cher stp.,1,Dijon,Nancy,Dijon,Nancy,33,38,46,51,0,66
601,"S'il te plaît, je veux un train ngers → Marsielle vendredi pas trop cher s'il te plaît.",1,Angers,Marseille,ngers,Marsielle,32,37,40,49,1,92
602,"Bonjour, je veux un train en partant de Nancy pour aller à Reims s'il te plaît. Je dois rejoindre Dieppe avant de partir.",1,Nancy,Reims,Nancy,Reims,40,45,59,64,0,306
603,Je veux un billet au départ de Pau pour ReIMs demain avec une correspondance ?,1,Pau,Reims,Pau,ReIMs,31,34,40,45,1,222
604,"S'il te plaît, je veux une correspondance de LILLE vers Limoges demain le plus rapide possible stp.",1,Lille,Limoges,LILLE,Limoges,45,50,56,63,1,391
605,Je cherche un trajet entre Orléans et Rennes vendredi le plus rapide possible s'il te plaît.,1,Orléans,Rennes,Orléans,Rennes,27,34,38,44,0,90
606,Peux-tu un itinéraire pour aller à Paris depuis Nancy samedi matin ?,1,Nancy,Paris,Nancy,Paris,48,53,35,40,0,20
607,Peux-tu un itinéraire BESANCON - Bordeaux demain après-midi en première classe tu peux regarder ?,1,Besançon,Bordeaux,BESANCON,Bordeaux,22,30,33,41,1,65
608,Je veux un itinéraire Perpignan → nancy avec une correspondance,1,Perpignan,Nancy,Perpignan,nancy,22,31,34,39,1,386
609,"Bonjour, je veux un billet au départ de LiLLe pour Pau vendredi est-ce possible ?",1,Lille,Pau,LiLLe,Pau,40,45,51,54,1,412
610,J’ai besoin de un train depuis Caen jusqu’à Strsbourg demain après-midi en seconde s'il te plaît.,1,Caen,Strasbourg,Caen,Strsbourg,31,35,44,53,1,328
611,Peux-tu un train pour aller à Saint-Etienne depuis lyon samedi matin avec une correspondance Avec Orange je voyage.,1,Lyon,Saint-Étienne,lyon,Saint-Etienne,51,55,30,43,1,282
612,Peux-tu un trajet de saint-malo jusqu'à Aix-en-Provence aujourd'hui sans correspondance ?,1,Saint-Malo,Aix-en-Provence,saint-malo,Aix-en-Provence,21,31,40,55,1,91
613,J’ai besoin de un itinéraire de Lyon à Nice samedi matin en première classe ?,1,Lyon,Nice,Lyon,Nice,32,36,39,43,0,58
614,Je souhaiterais un trajet Nantes - Besancon pas trop cher,1,Nantes,Besançon,Nantes,Besancon,26,32,35,43,1,241
615,Je voudrais un billet aix-en-provence - Metz ce soir le plus rapide possible Je vais voir mon ami Florence.,1,Aix-en-Provence,Metz,aix-en-provence,Metz,22,37,40,44,1,293
616,Je veux une pizza à Avignon.,0,,,,,-1,-1,-1,-1,0,-1
617,J'aimerais une correspondance de Nantes jusqu'à Montpellier samedi matin tu peux regarder ?,1,Nantes,Montpellier,Nantes,Montpellier,33,39,48,59,0,84
618,"Salut, je voudrais une liaison ferroviaire de Rennes vers Besançon aujourd'hui le plus rapide possible",1,Rennes,Besançon,Rennes,Besançon,46,52,58,66,0,205
619,Je cherche un trajet pour aller à ix en Provence depuis Grenoble demain après-midi sans correspondance,1,Grenoble,Aix-en-Provence,Grenoble,ix en Provence,56,64,34,48,1,407
620,Tu peux un train de Le-Masn vers La Rochell ce soir pas trop cher ?,1,Le Mans,La Rochelle,Le-Masn,La Rochell,20,27,33,43,1,400
621,Tu peux un voyage Perpignan → Lyon le plus rapide possible stp.,1,Perpignan,Lyon,Perpignan,Lyon,18,27,30,34,0,184
622,T'as des nouvelles de Florence ?,0,,,,,-1,-1,-1,-1,0,-1
623,"Bonjour, je veux un billet de train Nantes → orlEanS dans 2 heures sans correspondance",1,Nantes,Orléans,Nantes,orlEanS,36,42,45,52,1,243
624,Je voudrais aller voir mon ami Troyes à BORDEAUX.,0,,,,,-1,-1,-1,-1,0,-1
625,"Bonjour, je veux un trajet pour aller à Metz depuis Grenoble vendredi pas trop cher stp.",1,Grenoble,Metz,Grenoble,Metz,52,60,40,44,0,86
626,Je souhaiterais un billet au départ de Metz pour Clermont Ferrand ce soir en première classe tu peux regarder ?,1,Metz,Clermont-Ferrand,Metz,Clermont Ferrand,39,43,49,65,1,288
627,"Bonjour, je veux un billet en partant de Besançon pour aller à Nancy aujourd'hui pas trop cher tu peux regarder ?",1,Besançon,Nancy,Besançon,Nancy,41,49,63,68,0,326
628,J’ai besoin de une correspondance en partant de Angers pour aller à AIX EN PROVENCE demain après-midi le plus rapide possible tu peux regarder ?,1,Angers,Aix-en-Provence,Angers,AIX EN PROVENCE,48,54,68,83,1,46
629,Je voudrais une correspondance depuis Angers jusqu’à LIMOGES en seconde ?,1,Angers,Limoges,Angers,LIMOGES,38,44,53,60,1,190
630,Je veux un voyage de Tours jusque Clermont Ferrand dans 2 heures Je dois rejoindre Florence avant de partir.,1,Tours,Clermont-Ferrand,Tours,Clermont Ferrand,21,26,34,50,1,240
631,J’ai besoin de un voyage en partant de Orléasn pour aller à NICE vendredi sans correspondance ?,1,Orléans,Nice,Orléasn,NICE,39,46,60,64,1,38
632,Je pars demain.,0,,,,,-1,-1,-1,-1,0,-1
633,"Bonjour, je veux un trajet de Toulouse jusque Clermon-Ferrand avec une correspondance s'il te plaît.",1,Toulouse,Clermont-Ferrand,Toulouse,Clermon-Ferrand,30,38,46,61,1,415
634,Tu peux un trajet en partant de Nice pour aller à Bordeaux vendredi le plus rapide possible est-ce possible ?,1,Nice,Bordeaux,Nice,Bordeaux,32,36,50,58,0,331
635,Tu peux un trajet de Montpellier vers Aix-En-Provence demain matin le plus rapide possible ?,1,Montpellier,Aix-en-Provence,Montpellier,Aix-En-Provence,21,32,38,53,1,158
636,Je cherche un voyage au départ de NANTSE pour La Rochelle aujourd'hui sans correspondance ?,1,Nantes,La Rochelle,NANTSE,La Rochelle,34,40,46,57,1,37
637,Je souhaiterais un trajet depuis NICE jusqu’à Paris demain stp.,1,Nice,Paris,NICE,Paris,33,37,46,51,1,165
638,Je veux une pizza à Rennes.,0,,,,,-1,-1,-1,-1,0,-1
639,"Salut, je voudrais une liaison ferroviaire de Pau jusqu'à rennes le plus rapide possible",1,Pau,Rennes,Pau,rennes,46,49,58,64,1,281
640,"Bonjour, je veux un trajet pau → Best stp. Je vais voir mon ami Milan.",1,Pau,Brest,pau,Best,27,30,33,37,1,339
641,Je veux un billet depuis Reims jusqu’à Montpellier avec une correspondance ?,1,Reims,Montpellier,Reims,Montpellier,25,30,39,50,0,115
642,Peux-tu un train pour aller à le-mans depuis Strasbourg samedi matin avec une correspondance Avec Troyes je voyage.,1,Strasbourg,Le Mans,Strasbourg,le-mans,45,55,30,37,1,282
643,J’ai besoin de un itinéraire de MONTPELLIER à La Rochelle ce soir en seconde s'il te plaît.,1,Montpellier,La Rochelle,MONTPELLIER,La Rochelle,32,43,46,57,1,145
